,N53,N87,N108,T53,T87,T108
ENSG00000005483,5129.707660937166,10631.249553983203,8160.870493185278,4121.474372318595,8209.615296885637,11582.366777509169
ENSG00000005486,6088.51273706061,3753.383885486911,3582.0259185270997,10246.883887671658,3994.9237816987556,6537.822513768684
ENSG00000005513,1062.323863168218,92.79977945262907,61.71891212026537,23.53958543911787,23.46274734748682,3263.089509320879
ENSG00000005700,3618.132362729976,7050.780365461983,6277.8614196292565,4556.444972824033,3941.741554377785,4082.500478878263
ENSG00000005801,2009.0684980825617,1892.0473019334588,1161.0142525265014,1945.5979095549162,1571.2219807033673,3511.9692176589124
ENSG00000005810,4892.518983824868,9561.715405183839,22988.54800313507,5252.397933632736,1457.818701857181,2603.776597758721
ENSG00000005812,4063.3636506992484,9899.533307363912,6573.6463946961885,5538.966799848084,4238.936354112619,4139.262517622025
ENSG00000005844,635.1832370125958,626.2316052270941,387.78108935940315,931.3488151998811,180.6631545756485,213.94922295725658
ENSG00000005882,2412.088241819984,1356.6126032211673,6868.2668619872675,1828.9234425958102,2090.5307886610753,886.3610665372058
ENSG00000005884,8852.363847479342,3069.736589375457,1151.6981903196688,7206.183525079519,5595.083150797356,692.7879600520689
ENSG00000005889,2814.1029487899814,6074.045996115246,5207.678773619373,2669.18429674867,4106.762877388443,2542.648248342362
ENSG00000005893,14521.77625252373,24147.971387061825,10708.813506753968,25314.265489180063,15687.974968107936,36470.33761131248
ENSG00000005961,20.100735348499867,18.693480753047584,93.16062206832508,9.211142128350472,215.07518401862916,1.455436890865691
ENSG00000006007,5498.556154582139,5780.2912985673565,8592.902878027135,6161.230623629982,4763.719803118073,5053.276885085679
ENSG00000006015,721.6163990111453,134.86011114698613,561.2927479616586,529.1289422619104,623.3269878648998,408.9777663332592
ENSG00000006016,158.79580925314895,88.12640926436717,190.9792752400664,133.04983074284016,36.75830417772935,164.46436866782307
ENSG00000006025,682.4199650815705,367.19337193486325,200.29533744689894,727.6802281396873,754.718373010826,144.0882521957034
ENSG00000006042,3992.006040212074,3818.8110681225776,1037.5764282859707,2602.65938137725,5670.946033887564,2766.7855295356785
ENSG00000006047,511.5637146193217,189.60530478091118,1183.1399002677285,798.2989844570409,1600.9414606768505,33.47504848991089
ENSG00000006062,1113.5807383068927,1713.1239861542892,967.7059617347269,465.67440759994054,601.4284236739121,310.00805775439215
ENSG00000006071,149.75047834632403,195.61392359439077,41.92227993074629,233.34893391821194,2097.5696128653217,4.366310672597073
ENSG00000006118,4634.224534596645,205.6282882835234,222.42098518812614,13466.68979164839,1266.2062651860385,1515.1098033911844
ENSG00000006125,16237.374014518193,21376.66286542252,16419.559639542298,24572.25681772961,38976.3158936451,6018.231543729632
ENSG00000006194,2981.9440889499556,1801.2503954186564,1871.3639957974801,2359.075845094204,2778.771377520689,2666.3603840659457
ENSG00000006210,21632.411382055558,11821.62370336477,7759.115310515625,1604.7856508059488,631.1479036473954,12381.401630594433
ENSG00000006282,4108.590305233373,1014.1213308528313,3428.310892114363,5881.825979070018,4486.859384417729,1210.9234932002548
ENSG00000006283,123.6195223932742,78.11204457523453,73.36398987880601,243.58353628304582,6.256732625996484,1.455436890865691
ENSG00000006327,1411.0716214646907,1019.4623253537021,520.5349758067664,4061.0902183660746,2061.593400265842,1563.139220789752
ENSG00000006432,808.0495610096947,913.3100596488962,47.7448188100166,906.7857695242798,472.3833132627346,914.0143674636539
ENSG00000006451,3596.0215538466264,5234.174610853323,7215.290179191778,6232.872840183819,3927.6639059692934,8268.33697700799
ENSG00000006453,1542.731437997365,1177.0216631293888,385.45207380769506,1725.5539587109884,3767.3351324281334,3951.511158700351
ENSG00000006459,2334.7004107282596,4543.183447303171,3974.465038989919,4334.354101507139,2007.6290813666221,7213.145231130365
ENSG00000006468,1501.52493053294,1460.7619959881467,534.5090691170152,993.7798896253676,524.7834490054552,369.6809702798855
ENSG00000006530,1831.176990248338,1839.972605549969,2440.808298190117,2016.21666587227,2030.3097371358592,5987.667369021453
ENSG00000006534,1150.7670987016174,383.8839797500843,385.45207380769506,2862.61828144403,241.66629767911422,451.1854361683642
ENSG00000006555,729.6566931505453,440.6320463218359,41.92227993074629,37.868028749885276,1471.896350265673,1635.9110653330367
ENSG00000006576,916.593531891594,2295.2923867491995,1731.6230626949925,2844.195997187329,2381.468855769912,1011.5286391516553
ENSG00000006607,2449.274602214709,2119.0395682204653,2193.932649709056,4165.48316248738,2373.6479399874165,1733.4253370210379
ENSG00000006625,3575.9208184981267,1989.5204515743499,1545.3018185583423,6157.136782684049,5186.831346951086,5178.444457700129
ENSG00000006634,534.6795602700965,542.1109418383799,385.45207380769506,681.6245174979349,1448.4336029181861,1235.6659203449717
ENSG00000006638,53.26694867352465,80.78254182566991,166.5246119471311,170.91785949272543,116.53164515918452,205.21660161206242
ENSG00000006652,1998.0130936408868,5323.636268742908,4874.62954972511,1114.5481975304072,1271.6809062337854,8403.6926078585
ENSG00000006695,921.6187157287189,867.911606391495,1638.4624406266676,1070.5394073616214,1073.8117369366466,775.7478628314133
ENSG00000006704,1930.6756302234123,570.8187872805601,1399.7383465765845,2632.339728235268,2957.870348939838,1711.5937836580526
ENSG00000006712,5180.964536075841,2526.958023224468,3713.615297198609,5768.221892820362,5200.126903781328,2103.1063073009236
ENSG00000006715,3354.812729664628,5178.761792906789,5934.331625752308,5482.6764868414975,4298.3753140595845,4244.053973764355
ENSG00000006740,453.271582108672,556.1310524031655,503.0673591689555,185.24630280349282,799.2975929710509,212.4937860663909
ENSG00000006744,3941.754201840824,2318.659237690509,5400.987064411147,3697.7618344144726,4129.44353315768,2162.779219826417
ENSG00000006747,124.62455916069918,476.68375920271336,512.383421375788,255.86505912084644,621.7628047084007,107.70232992406113
ENSG00000006756,6667.413915097406,6132.796935624825,2042.5466388480274,6270.740868933704,15612.112085017729,6760.504358071134
ENSG00000006757,2140.728314615236,1920.0875230630302,2894.966330773202,2327.348577763219,3096.3005582900105,1084.3004836949399
ENSG00000006788,10.050367674249934,27.37259681696253,2.3290155517081272,74.71259726328717,1.564183156499121,1.455436890865691
ENSG00000006831,5703.5836551368375,7320.500587755955,26220.057081130097,11147.528895777037,4273.348383555599,4987.782224996723
ENSG00000006837,55.27702220837464,76.10917163740801,86.17357541320071,64.4779948984533,64.91360099471353,56.76203874376195
ENSG00000007038,309.551324366898,47.401326195227796,3.493523327562191,10.234602364833858,4.692549469497363,7.277184454328455
ENSG00000007047,2287.463682659285,855.226744451927,2080.9753954512116,1827.899982359327,2128.853275995304,2175.878151844208
ENSG00000007062,6240.273288941784,11409.699502485113,452.99352480723076,369.46914537050225,18.770197877989453,13436.59337647206
ENSG00000007080,2118.617505731886,269.72022229397226,1821.2901614357554,1896.4718182037138,1442.1768702921897,1005.7068915881924
ENSG00000007129,37.18636039472476,65.42718263566654,122.27331646467668,34.797648040435114,15.641831564991211,14.55436890865691
ENSG00000007168,7853.357300658899,16468.28891912231,15854.773368253076,10552.898498380191,7375.905674471606,6239.457951141218
ENSG00000007171,31.156139790174795,26.037348191744847,146.72797975761202,31.727267330984958,67.25987572946221,11.643495126925528
ENSG00000007174,77.3878310917245,98.1407739534998,499.5738358413933,36.84456851340189,9.385098938994727,8.732621345194145
ENSG00000007202,14146.897538274206,9185.17529287245,19316.85498586721,18609.577479977404,5608.378707627599,4002.45144988065
ENSG00000007216,2903.551221090806,1033.4824359184877,32.60621772391378,92.11142128350471,22.68065576923726,839.7870860295037
ENSG00000007237,2879.430338672606,8157.033851454835,5475.515562065807,4555.42151258755,749.2437319630791,519.5909700390516
ENSG00000007255,1711.5776149247638,294.42232186049944,582.2538879270318,2253.6594407364155,1212.2419462868188,957.6774741896247
ENSG00000007264,207.03757408954866,25.369723879136004,27.948186620497527,91.08796104702134,10.167190517244288,5.821747563462764
ENSG00000007312,260.3045227630733,179.59094009177855,168.85362749883922,184.22284256700942,28.15529681698418,154.27631043176325
ENSG00000007314,218.09297853122357,355.1761343079041,3460.917109838277,38.89148898636866,67.25987572946221,176.1078637947486
ENSG00000007341,868.3517670551943,801.8167994432196,663.7694322368162,589.5130962144302,803.9901424405483,547.2442709654998
ENSG00000007372,167.8411401599739,347.164642556598,230.5725396191046,158.6363366549248,85.2479820292021,413.34407700585626
ENSG00000007376,1164.8376134455673,243.68287410222743,440.183939272836,1373.4836373607036,1013.5906854114305,806.3120375395928
ENSG00000007384,2227.1614766137855,1528.8596758742488,1361.3095899734003,2927.096276342483,2873.4044584888857,4565.705526645673
ENSG00000007392,1335.6938639078162,1219.0819948237458,1758.406741539636,912.9265309431801,1497.7053723479085,2081.274753937938
