,logFC,logCPM,F,PValue,FDR,neg_signed_logpval
ENSG00000169679,3.42452777434272,4.08880933857149,438.888376792966,6.389123849284799e-41,2.21690765859351e-38,40.194558693251544
ENSG00000006210,-3.03104432296379,7.64148898387643,437.939333603701,7.04880858133941e-41,2.4013368434283e-38,-40.151884283047785
ENSG00000143493,1.3132593074296,5.24888153051012,436.711883635164,8.00604659263788e-41,2.678737410826e-38,40.09658188676818
ENSG00000213186,2.28263142901861,3.3089614885029,435.369657101139,9.20520261030377e-41,3.00518259098488e-38,40.035966648054206
ENSG00000154134,-2.29775682695254,3.02308209562876,435.156679596826,9.41163568588398e-41,3.00518259098488e-38,-40.0263348922347
ENSG00000183155,1.29121018426121,4.25107900333346,435.104558465098,9.46286880867311e-41,3.00518259098488e-38,40.02397718083927
ENSG00000127564,3.86438229331634,3.16150590080593,433.753395321054,1.0894854074648399e-40,3.40228134661146e-38,39.96277858230615
ENSG00000161980,1.41872274335826,4.15481311505607,432.987524590137,1.1802593434624498e-40,3.62533103581246e-38,39.92802255281315
ENSG00000161888,2.86788108595322,2.53904473934235,429.923503876684,1.6274802004869299e-40,4.91840266395542e-38,39.78848428624461
ENSG00000072571,3.2572714460069,3.21713957676043,427.827668228639,2.0296286021250397e-40,6.036373193335999e-38,39.69258342553724
ENSG00000187824,-2.29512856923146,3.21698134909742,427.537483530691,2.0927824997857297e-40,6.12694776538831e-38,-39.679275904987264
ENSG00000109674,3.59347946259771,1.07383294138468,427.106596749368,2.1902679012327898e-40,6.3136999485229e-38,39.659502761456096
ENSG00000087586,2.88511118112881,3.93871556122137,426.061204323646,2.4464445293022796e-40,6.94530774932375e-38,39.61146462698806
ENSG00000243742,2.69714056520075,1.47873405571686,425.273834421216,2.6593676593924496e-40,7.43710027373676e-38,39.575221617009376
ENSG00000106004,-2.81766498898999,3.26295805090425,423.50860911635,3.2079361582635398e-40,8.83927938196824e-38,-39.493774283277446
ENSG00000169607,3.59125683870461,2.9899763555755,419.217147112109,5.074079241040109e-40,1.37786989477346e-37,39.29464275475762
ENSG00000138160,2.62044324169082,4.73488654208993,418.790705668421,5.31168842278466e-40,1.42178722825309e-37,39.27476740808168
ENSG00000134057,2.37732267343187,4.94582826030204,417.560407017675,6.06265958383662e-40,1.59994440313164e-37,39.21733681655999
ENSG00000174371,3.53821886147065,3.13210283795734,416.549529495795,6.76006668903641e-40,1.74019581180256e-37,39.1700490196593
ENSG00000109805,3.03832347656899,3.51665607175378,416.522408368495,6.77986306567682e-40,1.74019581180256e-37,39.16877907758153
ENSG00000137812,3.02471435163018,3.3117463481518,416.052280684915,7.132551554458329e-40,1.80598133075521e-37,39.14675508055615
ENSG00000198885,-2.71521131739739,2.7791226561837,415.584699678387,7.501861610486429e-40,1.87416507994246e-37,-39.12483095169642
ENSG00000112984,3.62041890311911,4.10875294044228,415.302576648179,7.73404577309839e-40,1.90674757434927e-37,39.11159326193127
ENSG00000076382,2.54872682179249,4.44864139789217,414.422612930863,8.5063180442689e-40,2.06990754799307e-37,39.070258383403235
ENSG00000136014,-2.68343192584664,0.505833383836484,413.422015927458,9.48040716991468e-40,2.27736396336784e-37,-39.023173009935164
ENSG00000168497,-4.19984337089797,6.27207174488823,412.694586977021,1.02592137443237e-39,2.40651610723703e-37,-38.98888592183493
ENSG00000158966,-2.1841584399079,5.24759266494561,412.668341487639,1.02884994016614e-39,2.40651610723703e-37,-38.98764796334269
ENSG00000123485,3.53315530309322,3.11472701833623,412.566130987553,1.04033625813204e-39,2.40651610723703e-37,38.98282626507822
ENSG00000138180,3.47908884491371,3.85639684764185,411.668271951424,1.14701708843117e-39,2.62093404706522e-37,38.94043011186675
ENSG00000126787,3.56139699652567,3.41113397767824,408.143624295645,1.68541070939459e-39,3.80476391107548e-37,38.77329425082287
ENSG00000141404,-2.28815174282568,3.87284126096082,407.842707176677,1.74191662715557e-39,3.88551093369214e-37,-38.758972635340285
ENSG00000100526,2.84714672129239,2.5859374619329,407.575623945722,1.79368284588173e-39,3.95391005685716e-37,38.746254345271865
ENSG00000137804,3.23003473974465,4.82374380790293,404.876832714244,2.41339030067484e-39,5.22127976873538e-37,38.61737243701282
